"","year","perc_expl","perc_non_expl","X","Region","Country","Rate","Count","type"
"73",2010,0.14,0.86,73,"Asia","Singapore",8.36,429,"Assault"
"74",2010,0.14,0.86,74,"Asia","Thailand",13.56,9112,"Assault"
"75",2010,0.14,0.86,75,"Asia","Bangladesh",NA,NA,"Assault"
"76",2010,0.14,0.86,76,"Asia","Bhutan",NA,NA,"Assault"
"77",2010,0.14,0.86,77,"Asia","India",23.42,289022,"Assault"
"78",2010,0.14,0.86,78,"Asia","Maldives",403.83,1478,"Assault"
"79",2010,0.14,0.86,79,"Asia","Nepal",NA,NA,"Assault"
"80",2010,0.14,0.86,80,"Asia","Pakistan",19.83,35573,"Assault"
"81",2010,0.14,0.86,81,"Asia","Sri Lanka",318.9,64616,"Assault"
"82",2010,0.14,0.86,82,"Asia","Armenia",5.39,155,"Assault"
"83",2010,0.14,0.86,83,"Asia","Azerbaijan",1.9,172,"Assault"
"84",2010,0.14,0.86,84,"Asia","Bahrain",NA,NA,"Assault"
"85",2010,0.14,0.86,85,"Asia","Cyprus",15.54,173,"Assault"
"86",2010,0.14,0.86,86,"Asia","Georgia",3.07,126,"Assault"
"87",2010,0.14,0.86,87,"Asia","Israel",626.29,46007,"Assault"
"88",2010,0.14,0.86,88,"Asia","Jordan",NA,NA,"Assault"
"89",2010,0.14,0.86,89,"Asia","Kuwait",NA,NA,"Assault"
"90",2010,0.14,0.86,90,"Asia","Lebanon",191.72,9496,"Assault"
"91",2010,0.14,0.86,91,"Asia","Oman",NA,NA,"Assault"
"92",2010,0.14,0.86,92,"Asia","Qatar",NA,NA,"Assault"
"93",2010,0.14,0.86,93,"Asia","Saudi Arabia",NA,NA,"Assault"
"94",2010,0.14,0.86,94,"Asia","State of Palestine",7.05,286,"Assault"
"95",2010,0.14,0.86,95,"Asia","Syrian Arab Republic",NA,NA,"Assault"
"96",2010,0.14,0.86,96,"Asia","Turkey",305.39,220882,"Assault"
"97",2010,0.14,0.86,97,"Asia","United Arab Emirates",NA,NA,"Assault"
"98",2010,0.14,0.86,98,"Asia","Yemen",NA,NA,"Assault"
"99",2010,0.14,0.86,99,"Europe","Belarus",12.29,1158,"Assault"
"100",2010,0.14,0.86,100,"Europe","Bulgaria",40.92,3038,"Assault"
"101",2010,0.14,0.86,101,"Europe","Czech Republic",171.52,18073,"Assault"
"102",2010,0.14,0.86,102,"Europe","Hungary",146.76,14569,"Assault"
"103",2010,0.14,0.86,103,"Europe","Poland",28.73,11011,"Assault"
"104",2010,0.14,0.86,104,"Europe","Republic of Moldova",10.18,416,"Assault"
"105",2010,0.14,0.86,105,"Europe","Romania",60.09,12301,"Assault"
"106",2010,0.14,0.86,106,"Europe","Russian Federation",21.19,30403,"Assault"
"107",2010,0.14,0.86,107,"Europe","Slovakia",44.89,2426,"Assault"
"108",2010,0.14,0.86,108,"Europe","Ukraine",8.8,4029,"Assault"
"109",2010,0.14,0.86,109,"Europe","Denmark",31.56,1753,"Assault"
"110",2010,0.14,0.86,110,"Europe","Estonia",7.73,103,"Assault"
"111",2010,0.14,0.86,111,"Europe","Finland",37.2,1996,"Assault"
"112",2010,0.14,0.86,112,"Europe","Iceland",17.81,57,"Assault"
"113",2010,0.14,0.86,113,"Europe","Ireland",330.22,15038,"Assault"
"114",2010,0.14,0.86,114,"Europe","Latvia",57.86,1226,"Assault"
"115",2010,0.14,0.86,115,"Europe","Lithuania",7.84,245,"Assault"
"116",2010,0.14,0.86,116,"Europe","Norway",59.86,2925,"Assault"
"117",2010,0.14,0.86,117,"Europe","Sweden",59.57,5594,"Assault"
"118",2010,0.14,0.86,118,"Europe","Albania",6.04,178,"Assault"
"119",2010,0.14,0.86,119,"Europe","Andorra",116.67,98,"Assault"
"120",2010,0.14,0.86,120,"Europe","Bosnia and Herzegovina",13.63,505,"Assault"
"121",2010,0.14,0.86,121,"Europe","Croatia",22.78,986,"Assault"
"122",2010,0.14,0.86,122,"Europe","Greece",10.11,1101,"Assault"
"123",2010,0.14,0.86,123,"Europe","Holy See",0,0,"Assault"
"124",2010,0.14,0.86,124,"Europe","Italy",109.34,64866,"Assault"
"125",2010,0.14,0.86,125,"Europe","Malta",43.48,180,"Assault"
"126",2010,0.14,0.86,126,"Europe","Montenegro",30.93,193,"Assault"
"127",2010,0.14,0.86,127,"Europe","North Macedonia",11.97,248,"Assault"
"128",2010,0.14,0.86,128,"Europe","Portugal",8.14,863,"Assault"
"129",2010,0.14,0.86,129,"Europe","Serbia",15.47,1391,"Assault"
"130",2010,0.14,0.86,130,"Europe","Slovenia",106.8,2182,"Assault"
"131",2010,0.14,0.86,131,"Europe","Spain",53.43,25077,"Assault"
"132",2010,0.14,0.86,132,"Europe","Austria",42.88,3606,"Assault"
"133",2010,0.14,0.86,133,"Europe","Belgium",710.83,77758,"Assault"
"134",2010,0.14,0.86,134,"Europe","France",368.81,231909,"Assault"
"135",2010,0.14,0.86,135,"Europe","Germany",176.8,142903,"Assault"
"136",2010,0.14,0.86,136,"Europe","Liechtenstein",213.89,77,"Assault"
"137",2010,0.14,0.86,137,"Europe","Luxembourg",487.2,2475,"Assault"
"138",2010,0.14,0.86,138,"Europe","Monaco",NA,NA,"Assault"
"139",2010,0.14,0.86,139,"Europe","Netherlands",361.33,60280,"Assault"
"140",2010,0.14,0.86,140,"Europe","Switzerland",6.24,487,"Assault"
"141",2010,0.14,0.86,141,"Oceania","Australia",309.93,68665,"Assault"
"142",2010,0.14,0.86,142,"Oceania","New Zealand",257.67,11260,"Assault"
"143",2010,0.14,0.86,143,"Oceania","Solomon Islands",NA,NA,"Assault"
"144",2011,0.17,0.83,144,"Africa","Burundi",5.57,499,"Assault"
"145",2011,0.17,0.83,145,"Africa","Kenya",33.27,14366,"Assault"
"146",2011,0.17,0.83,146,"Africa","Madagascar",15.79,3434,"Assault"
"147",2011,0.17,0.83,147,"Africa","Mauritius",18.39,230,"Assault"
"148",2011,0.17,0.83,148,"Africa","Mozambique",NA,NA,"Assault"
"149",2011,0.17,0.83,149,"Africa","Rwanda",24.54,2526,"Assault"
"150",2011,0.17,0.83,150,"Africa","Uganda",56.82,19023,"Assault"
"151",2011,0.17,0.83,151,"Africa","United Republic of Tanzania",NA,NA,"Assault"
"152",2011,0.17,0.83,152,"Africa","Zimbabwe",NA,NA,"Assault"
"153",2011,0.17,0.83,153,"Africa","Cameroon",25.26,5281,"Assault"
"154",2011,0.17,0.83,154,"Africa","Sao Tome and Principe",2.16,4,"Assault"
"155",2011,0.17,0.83,155,"Africa","Algeria",124.24,45548,"Assault"
"156",2011,0.17,0.83,156,"Africa","Egypt",0.4,339,"Assault"
"157",2011,0.17,0.83,157,"Africa","Morocco",NA,NA,"Assault"
"158",2011,0.17,0.83,158,"Africa","Botswana",798.91,16098,"Assault"
"159",2011,0.17,0.83,159,"Africa","Eswatini",NA,NA,"Assault"
"160",2011,0.17,0.83,160,"Africa","Lesotho",NA,NA,"Assault"
"161",2011,0.17,0.83,161,"Africa","South Africa",NA,NA,"Assault"
"162",2011,0.17,0.83,162,"Africa","Benin",NA,NA,"Assault"
"163",2011,0.17,0.83,163,"Africa","Cabo Verde",807.62,4030,"Assault"
"164",2011,0.17,0.83,164,"Africa","Cote d'Ivoire",NA,NA,"Assault"
"165",2011,0.17,0.83,165,"Africa","Guinea",NA,NA,"Assault"
"166",2011,0.17,0.83,166,"Africa","Guinea-Bissau",NA,NA,"Assault"
"167",2011,0.17,0.83,167,"Africa","Nigeria",NA,NA,"Assault"
"168",2011,0.17,0.83,168,"Africa","Senegal",NA,NA,"Assault"
"169",2011,0.17,0.83,169,"Africa","Sierra Leone",NA,NA,"Assault"
"170",2011,0.17,0.83,170,"Americas","Bahamas",907.78,3268,"Assault"
"171",2011,0.17,0.83,171,"Americas","Barbados",463.6,1312,"Assault"
"172",2011,0.17,0.83,172,"Americas","Dominica",NA,NA,"Assault"
"173",2011,0.17,0.83,173,"Americas","Dominican Republic",NA,NA,"Assault"
"174",2011,0.17,0.83,174,"Americas","Grenada",1155.14,1236,"Assault"
"175",2011,0.17,0.83,175,"Americas","Jamaica",NA,NA,"Assault"
"176",2011,0.17,0.83,176,"Americas","Puerto Rico",81.29,2894,"Assault"
"177",2011,0.17,0.83,177,"Americas","St. Kitts and Nevis",279.59,137,"Assault"
"178",2011,0.17,0.83,178,"Americas","St. Vincent and the Grenadines",1152.78,1245,"Assault"
"179",2011,0.17,0.83,179,"Americas","Trinidad and Tobago",40.04,535,"Assault"
"180",2011,0.17,0.83,180,"Americas","Belize",NA,NA,"Assault"
"181",2011,0.17,0.83,181,"Americas","Costa Rica",158.88,7361,"Assault"
"182",2011,0.17,0.83,182,"Americas","El Salvador",59.27,3681,"Assault"
"183",2011,0.17,0.83,183,"Americas","Guatemala",41.72,6237,"Assault"
"184",2011,0.17,0.83,184,"Americas","Honduras",42.98,3645,"Assault"
"185",2011,0.17,0.83,185,"Americas","Mexico",183.36,212141,"Assault"
"186",2011,0.17,0.83,186,"Americas","Nicaragua",NA,NA,"Assault"
"187",2011,0.17,0.83,187,"Americas","Panama",156.07,5784,"Assault"
"188",2011,0.17,0.83,188,"Americas","Bermuda",860,559,"Assault"
"189",2011,0.17,0.83,189,"Americas","Canada",156.22,53957,"Assault"
"190",2011,0.17,0.83,190,"Americas","United States of America",241.48,752423,"Assault"
"191",2011,0.17,0.83,191,"Americas","Argentina",NA,NA,"Assault"
"192",2011,0.17,0.83,192,"Americas","Bolivia (Plurinational State of)",65.52,6692,"Assault"
"193",2011,0.17,0.83,193,"Americas","Brazil",363.1,717185,"Assault"
"194",2011,0.17,0.83,194,"Americas","Chile",133.24,22963,"Assault"
"195",2011,0.17,0.83,195,"Americas","Colombia",136.18,62185,"Assault"
"196",2011,0.17,0.83,196,"Americas","Ecuador",41.39,6309,"Assault"
"197",2011,0.17,0.83,197,"Americas","Guyana",NA,NA,"Assault"
"198",2011,0.17,0.83,198,"Americas","Paraguay",31.77,2012,"Assault"
"199",2011,0.17,0.83,199,"Americas","Peru",70.79,20717,"Assault"
"200",2011,0.17,0.83,200,"Americas","Suriname",NA,NA,"Assault"
"201",2011,0.17,0.83,201,"Americas","Uruguay",15.26,514,"Assault"
"202",2011,0.17,0.83,202,"Asia","Kazakhstan",11.9,1962,"Assault"
"203",2011,0.17,0.83,203,"Asia","Kyrgyzstan",8.74,482,"Assault"
"204",2011,0.17,0.83,204,"Asia","Tajikistan",48.52,3735,"Assault"
"205",2011,0.17,0.83,205,"Asia","Turkmenistan",NA,NA,"Assault"
"206",2011,0.17,0.83,206,"Asia","Uzbekistan",NA,NA,"Assault"
"207",2011,0.17,0.83,207,"Asia","Hong Kong Special Administrative Region of China",105.07,7362,"Assault"
"208",2011,0.17,0.83,208,"Asia","Japan",20.18,25928,"Assault"
"209",2011,0.17,0.83,209,"Asia","Macao Special Administrative Region of China",313.61,1728,"Assault"
"210",2011,0.17,0.83,210,"Asia","Mongolia",210.76,5838,"Assault"
"211",2011,0.17,0.83,211,"Asia","Republic of Korea",626.41,311862,"Assault"
"212",2011,0.17,0.83,212,"Asia","Brunei Darussalam",NA,NA,"Assault"
"213",2011,0.17,0.83,213,"Asia","Indonesia",14.61,35800,"Assault"
"214",2011,0.17,0.83,214,"Asia","Malaysia",NA,NA,"Assault"
"215",2011,0.17,0.83,215,"Asia","Myanmar",4.37,2228,"Assault"
"216",2011,0.17,0.83,216,"Asia","Singapore",7.71,406,"Assault"
"217",2011,0.17,0.83,217,"Asia","Thailand",19.73,13322,"Assault"
"218",2011,0.17,0.83,218,"Asia","Bangladesh",NA,NA,"Assault"
"219",2011,0.17,0.83,219,"Asia","Bhutan",NA,NA,"Assault"
"220",2011,0.17,0.83,220,"Asia","India",24.22,302847,"Assault"
"221",2011,0.17,0.83,221,"Asia","Maldives",328.68,1249,"Assault"
"222",2011,0.17,0.83,222,"Asia","Nepal",NA,NA,"Assault"
"223",2011,0.17,0.83,223,"Asia","Pakistan",19.75,36204,"Assault"
"224",2011,0.17,0.83,224,"Asia","Sri Lanka",325.88,66474,"Assault"
"225",2011,0.17,0.83,225,"Asia","Armenia",5.6,161,"Assault"
"226",2011,0.17,0.83,226,"Asia","Azerbaijan",1.67,153,"Assault"
"227",2011,0.17,0.83,227,"Asia","Bahrain",NA,NA,"Assault"
"228",2011,0.17,0.83,228,"Asia","Cyprus",14.58,164,"Assault"
"229",2011,0.17,0.83,229,"Asia","Georgia",NA,NA,"Assault"
"230",2011,0.17,0.83,230,"Asia","Israel",575.25,43069,"Assault"
"231",2011,0.17,0.83,231,"Asia","Jordan",NA,NA,"Assault"
"232",2011,0.17,0.83,232,"Asia","Kuwait",NA,NA,"Assault"
"233",2011,0.17,0.83,233,"Asia","Lebanon",172.16,8956,"Assault"
"234",2011,0.17,0.83,234,"Asia","Oman",NA,NA,"Assault"
"235",2011,0.17,0.83,235,"Asia","Qatar",NA,NA,"Assault"
"236",2011,0.17,0.83,236,"Asia","Saudi Arabia",NA,NA,"Assault"
"237",2011,0.17,0.83,237,"Asia","State of Palestine",8.19,340,"Assault"
"238",2011,0.17,0.83,238,"Asia","Syrian Arab Republic",NA,NA,"Assault"
"239",2011,0.17,0.83,239,"Asia","Turkey",324.6,238395,"Assault"
"240",2011,0.17,0.83,240,"Asia","United Arab Emirates",NA,NA,"Assault"
"241",2011,0.17,0.83,241,"Asia","Yemen",NA,NA,"Assault"
"242",2011,0.17,0.83,242,"Europe","Belarus",10.65,1003,"Assault"
"243",2011,0.17,0.83,243,"Europe","Bulgaria",33.36,2462,"Assault"
"244",2011,0.17,0.83,244,"Europe","Czech Republic",183.68,19409,"Assault"
"245",2011,0.17,0.83,245,"Europe","Hungary",143.61,14212,"Assault"
"246",2011,0.17,0.83,246,"Europe","Poland",27.95,10703,"Assault"
"247",2011,0.17,0.83,247,"Europe","Republic of Moldova",8.83,360,"Assault"
"248",2011,0.17,0.83,248,"Europe","Romania",60.48,12299,"Assault"
"249",2011,0.17,0.83,249,"Europe","Russian Federation",20.63,29647,"Assault"
"250",2011,0.17,0.83,250,"Europe","Slovakia",41.17,2227,"Assault"
"251",2011,0.17,0.83,251,"Europe","Ukraine",NA,NA,"Assault"
"252",2011,0.17,0.83,252,"Europe","Denmark",30.38,1696,"Assault"
"253",2011,0.17,0.83,253,"Europe","Estonia",7.83,104,"Assault"
"254",2011,0.17,0.83,254,"Europe","Finland",54.79,2953,"Assault"
"255",2011,0.17,0.83,255,"Europe","Iceland",18.58,60,"Assault"
"256",2011,0.17,0.83,256,"Europe","Ireland",320.39,14709,"Assault"
"257",2011,0.17,0.83,257,"Europe","Latvia",55.44,1161,"Assault"
"258",2011,0.17,0.83,258,"Europe","Lithuania",6.68,206,"Assault"
"259",2011,0.17,0.83,259,"Europe","Norway",57.34,2837,"Assault"
"260",2011,0.17,0.83,260,"Europe","Sweden",60.04,5684,"Assault"
"261",2011,0.17,0.83,261,"Europe","Albania",5.77,169,"Assault"
"262",2011,0.17,0.83,262,"Europe","Andorra",171.43,144,"Assault"
"263",2011,0.17,0.83,263,"Europe","Bosnia and Herzegovina",17.81,652,"Assault"
"264",2011,0.17,0.83,264,"Europe","Croatia",20.24,873,"Assault"
"265",2011,0.17,0.83,265,"Europe","Greece",13.16,1425,"Assault"
"266",2011,0.17,0.83,266,"Europe","Holy See",0,0,"Assault"
"267",2011,0.17,0.83,267,"Europe","Italy",114.95,68500,"Assault"
"268",2011,0.17,0.83,268,"Europe","Malta",43.3,181,"Assault"
"269",2011,0.17,0.83,269,"Europe","Montenegro",25.76,161,"Assault"
"270",2011,0.17,0.83,270,"Europe","North Macedonia",11.53,239,"Assault"
"271",2011,0.17,0.83,271,"Europe","Portugal",7.68,812,"Assault"
"272",2011,0.17,0.83,272,"Europe","Serbia",14.6,1309,"Assault"
"273",2011,0.17,0.83,273,"Europe","Slovenia",96.25,1974,"Assault"
"274",2011,0.17,0.83,274,"Europe","Spain",38.85,18290,"Assault"
"275",2011,0.17,0.83,275,"Europe","Austria",46.1,3897,"Assault"
"276",2011,0.17,0.83,276,"Europe","Belgium",715.25,78778,"Assault"
"277",2011,0.17,0.83,277,"Europe","France",365.86,231307,"Assault"
"278",2011,0.17,0.83,278,"Europe","Germany",172.02,139091,"Assault"
"279",2011,0.17,0.83,279,"Europe","Liechtenstein",216.67,78,"Assault"
"280",2011,0.17,0.83,280,"Europe","Luxembourg",528.71,2744,"Assault"
"281",2011,0.17,0.83,281,"Europe","Monaco",NA,NA,"Assault"
"282",2011,0.17,0.83,282,"Europe","Netherlands",355.03,59425,"Assault"
"283",2011,0.17,0.83,283,"Europe","Switzerland",6.16,487,"Assault"
"284",2011,0.17,0.83,284,"Oceania","Australia",293.3,66103,"Assault"
"285",2011,0.17,0.83,285,"Oceania","New Zealand",244.53,10806,"Assault"
"286",2011,0.17,0.83,286,"Oceania","Solomon Islands",NA,NA,"Assault"
"287",2012,0.19,0.81,287,"Africa","Burundi",4.92,455,"Assault"
"288",2012,0.19,0.81,288,"Africa","Kenya",32.78,14534,"Assault"
"289",2012,0.19,0.81,289,"Africa","Madagascar",9.46,2115,"Assault"
"290",2012,0.19,0.81,290,"Africa","Mauritius",NA,NA,"Assault"
"291",2012,0.19,0.81,291,"Africa","Mozambique",NA,NA,"Assault"
"292",2012,0.19,0.81,292,"Africa","Rwanda",30.11,3177,"Assault"
"293",2012,0.19,0.81,293,"Africa","Uganda",52.17,18030,"Assault"
"294",2012,0.19,0.81,294,"Africa","United Republic of Tanzania",NA,NA,"Assault"
"295",2012,0.19,0.81,295,"Africa","Zimbabwe",NA,NA,"Assault"
"296",2012,0.19,0.81,296,"Africa","Cameroon",26.83,5764,"Assault"
"297",2012,0.19,0.81,297,"Africa","Sao Tome and Principe",NA,NA,"Assault"
"298",2012,0.19,0.81,298,"Africa","Algeria",139.86,52287,"Assault"
"299",2012,0.19,0.81,299,"Africa","Egypt",NA,NA,"Assault"
"300",2012,0.19,0.81,300,"Africa","Morocco",88.56,29439,"Assault"
"301",2012,0.19,0.81,301,"Africa","Botswana",NA,NA,"Assault"
"302",2012,0.19,0.81,302,"Africa","Eswatini",NA,NA,"Assault"
"303",2012,0.19,0.81,303,"Africa","Lesotho",NA,NA,"Assault"
"304",2012,0.19,0.81,304,"Africa","South Africa",NA,NA,"Assault"
"305",2012,0.19,0.81,305,"Africa","Benin",NA,NA,"Assault"
"306",2012,0.19,0.81,306,"Africa","Cabo Verde",815.05,4116,"Assault"
"307",2012,0.19,0.81,307,"Africa","Cote d'Ivoire",NA,NA,"Assault"
"308",2012,0.19,0.81,308,"Africa","Guinea",NA,NA,"Assault"
"309",2012,0.19,0.81,309,"Africa","Guinea-Bissau",NA,NA,"Assault"
"310",2012,0.19,0.81,310,"Africa","Nigeria",9.2,15388,"Assault"
"311",2012,0.19,0.81,311,"Africa","Senegal",NA,NA,"Assault"
"312",2012,0.19,0.81,312,"Africa","Sierra Leone",NA,NA,"Assault"
"313",2012,0.19,0.81,313,"Americas","Bahamas",860.44,3132,"Assault"
"314",2012,0.19,0.81,314,"Americas","Barbados",516.9,1468,"Assault"
"315",2012,0.19,0.81,315,"Americas","Dominica",NA,NA,"Assault"
"316",2012,0.19,0.81,316,"Americas","Dominican Republic",59.78,5937,"Assault"
"317",2012,0.19,0.81,317,"Americas","Grenada",1227.1,1313,"Assault"
"318",2012,0.19,0.81,318,"Americas","Jamaica",200,5684,"Assault"
"319",2012,0.19,0.81,319,"Americas","Puerto Rico",77.27,2733,"Assault"
"320",2012,0.19,0.81,320,"Americas","St. Kitts and Nevis",NA,NA,"Assault"
"321",2012,0.19,0.81,321,"Americas","St. Vincent and the Grenadines",1029.63,1112,"Assault"
"322",2012,0.19,0.81,322,"Americas","Trinidad and Tobago",43.05,579,"Assault"
"323",2012,0.19,0.81,323,"Americas","Belize",273.08,923,"Assault"
"324",2012,0.19,0.81,324,"Americas","Costa Rica",138.16,6477,"Assault"
"325",2012,0.19,0.81,325,"Americas","El Salvador",67.78,4228,"Assault"
"326",2012,0.19,0.81,326,"Americas","Guatemala",39.85,6086,"Assault"
"327",2012,0.19,0.81,327,"Americas","Honduras",23.46,2027,"Assault"
"328",2012,0.19,0.81,328,"Americas","Mexico",180.71,211921,"Assault"
"329",2012,0.19,0.81,329,"Americas","Nicaragua",NA,NA,"Assault"
"330",2012,0.19,0.81,330,"Americas","Panama",144.82,5461,"Assault"
"331",2012,0.19,0.81,331,"Americas","Bermuda",849.23,552,"Assault"
"332",2012,0.19,0.81,332,"Americas","Canada",152.74,53339,"Assault"
"333",2012,0.19,0.81,333,"Americas","United States of America",242.64,762009,"Assault"
"334",2012,0.19,0.81,334,"Americas","Argentina",NA,NA,"Assault"
"335",2012,0.19,0.81,335,"Americas","Bolivia (Plurinational State of)",71.56,7426,"Assault"
"336",2012,0.19,0.81,336,"Americas","Brazil",367.77,732913,"Assault"
"337",2012,0.19,0.81,337,"Americas","Chile",113.87,19813,"Assault"
"338",2012,0.19,0.81,338,"Americas","Colombia",178.36,82181,"Assault"
"339",2012,0.19,0.81,339,"Americas","Ecuador",53.26,8242,"Assault"
"340",2012,0.19,0.81,340,"Americas","Guyana",1306.89,9867,"Assault"
"341",2012,0.19,0.81,341,"Americas","Paraguay",31.52,2024,"Assault"
"342",2012,0.19,0.81,342,"Americas","Peru",84.8,25022,"Assault"
"343",2012,0.19,0.81,343,"Americas","Suriname",NA,NA,"Assault"
"344",2012,0.19,0.81,344,"Americas","Uruguay",13.88,469,"Assault"
"345",2012,0.19,0.81,345,"Asia","Kazakhstan",9.95,1666,"Assault"
"346",2012,0.19,0.81,346,"Asia","Kyrgyzstan",7.36,414,"Assault"
"347",2012,0.19,0.81,347,"Asia","Tajikistan",NA,NA,"Assault"
"348",2012,0.19,0.81,348,"Asia","Turkmenistan",NA,NA,"Assault"
"349",2012,0.19,0.81,349,"Asia","Uzbekistan",NA,NA,"Assault"
